ID,Symbol,Name
1,VOO,Vanguard S&P 500 ETF
2,SPY,SPDR S&P 500 ETF TRUST
3,IVV,iShares Core S&P 500 ETF
4,VTI,Vanguard Total Stock Market ETF
5,QQQ,"Invesco QQQ Trust, Series 1"
6,VUG,Vanguard Growth ETF
7,VEA,Vanguard FTSE Developed Markets ETF
8,IEFA,iShares Core MSCI EAFE ETF
9,VTV,Vanguard Value ETF
10,BND,Vanguard Total Bond Market ETF
11,AGG,iShares Core U.S. Aggregate Bond ETF
12,IWF,iShares Russell 1000 Growth ETF
13,GLD,SPDR Gold Trust
14,IJH,iShares Core S&P Mid-Cap ETF
15,VXUS,Vanguard Total International Stock ETF
16,VIG,Vanguard Div Appreciation ETF
17,IEMG,iShares Core MSCI Emerging Markets ETF
18,VGT,Vanguard Information Tech ETF
19,VWO,Vanguard FTSE Emerging Markets ETF
20,VO,Vanguard Mid-Cap ETF
21,IJR,iShares Core S&P Small-Cap ETF
22,RSP,Invesco S&P 500 Equal Weight ETF
23,XLK,SPDR Select Sector Fund - Technology
24,SCHD,Schwab US Dividend Equity ETF
25,SPLG,SPDR Portfolio S&P 500 ETF
26,ITOT,iShares Core S&P Total U.S. Stock Market ETF
27,IBIT,iShares Bitcoin Trust
28,IWM,iShares Russell 2000 ETF
29,BNDX,Vanguard Total International Bond ETF
30,EFA,iShares MSCI EAFE ETF
31,VB,Vanguard Small-Cap ETF
32,IWD,iShares Russell 1000 Value ETF
33,VYM,Vanguard High Dividend Yield ETF
34,IVW,iShares S&P 500 Growth ETF
35,SCHX,Schwab U.S. Large-Cap ETF
36,VCIT,Vanguard Intermediate-Term Corporate Bond ETF
37,QUAL,iShares MSCI USA Quality Factor ETF
38,XLF,SPDR Select Sector Fund - Financial
39,TLT,iShares 20+ Year Treasury Bond ETF
40,QQQM,Invesco NASDAQ 100 ETF
41,SCHF,Schwab International Equity ETF
42,SGOV,iShares 0-3 Month Treasury Bond ETF
43,VT,Vanguard Total World Stock Index ETF
44,IAU,iShares Gold Trust Shares of the iShares Gold Trust
45,BIL,SPDR Bloomberg 1-3 Month T-Bill ETF
46,VNGDF,Vanguard Funds PLC
47,IXUS,iShares Core MSCI Total International Stock ETF
48,VEU,Vanguard FTSE All World Ex US ETF
49,SCHG,Schwab U.S. Large-Cap Growth ETF
50,IWR,iShares Russell Mid-Cap ETF
51,IWB,iShares Russell 1000 ETF
52,VV,Vanguard Large-Cap ETF
53,JEPI,JPMorgan Equity Premium Income ETF
54,MUB,iShares National Muni Bond ETF
55,DIA,SPDR Dow Jones Industrial Average ETF
56,BSV,Vanguard Short-Term Bond ETF
57,MBB,iShares MBS ETF
58,IVE,iShares S&P 500 Value ETF
59,VTEB,Vanguard Tax-Exempt Bond ETF
60,XLV,SPDR Select Sector Fund - Health Care
61,VCSH,Vanguard Short-Term Corporate Bond ETF
62,SPYG,SPDR Series Trust SPDR Portfolio S&P 500 Growth ETF
63,IEF,iShares 7-10 Year Treasury Bond ETF
64,VNQ,Vanguard Real Estate ETF
65,DFAC,Dimensional U.S. Core Equity 2 ETF
66,SCHB,Schwab U.S. Broad Market ETF
67,IUSB,iShares Core Total USD Bond Market ETF
68,VGIT,Vanguard Intermediate-Term Treasury ETF
69,DGRO,iShares Core Dividend Growth ETF
70,JPST,JPMorgan Ultra-Short Income ETF
71,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF
72,VBR,Vanguard Small-Cap Value ETF
73,VONG,Vanguard Russell 1000 Growth ETF
74,GOVT,iShares U.S. Treasury Bond ETF
75,XLE,SPDR Select Sector Fund - Energy Select Sector
76,SPDW,SPDR Portfolio Developed World ex-US ETF
77,SPYV,SPDR Series Trust SPDR Portfolio S&P 500 Value ETF
78,MGK,Vanguard Mega Cap Growth ETF
79,JEPQ,JPMorgan Nasdaq Equity Premium Income ETF
80,TQQQ,ProShares UltraPro QQQ
81,VGK,Vanguard FTSEEuropean ETF
82,USMV,iShares MSCI USA Min Vol Factor ETF
83,SHY,iShares 1-3 Year Treasury Bond ETF
84,VGFPF,Vanguard Funds PLC
85,BIV,Vanguard Intermediate-Term Bond ETF
86,MDY,SPDR S&P MidCap 400 ETF Trust
87,USHY,iShares Broad USD High Yield Corporate Bond ETF
88,VGSH,Vanguard Short-Term Treasury ETF
89,IUSG,iShares Core S&P U.S. Growth ETF
90,SMH,VanEck Semiconductor ETF
91,EFV,iShares MSCI EAFE Value ETF
92,XLY,SPDR Select Sector Fund - Consumer Discretionary
93,COWZ,Pacer US Cash Cows 100 ETF
94,XLC,The Communication Services Select Sector SPDR Fund
95,VXF,Vanguard Extended Market ETF
96,ACWI,iShares MSCI ACWI ETF
97,FBTC,Fidelity Wise Origin Bitcoin Fund
98,XLI,SPDR Select Sector Fund - Industrial
99,SHV,iShares Short Treasury Bond ETF
100,IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF
